NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,NU_NOTA_REDACAO,IDX
400,400,400,400,400,150001
400,600,400,400,400,150002
400,400,400,400,400,150003
400,600,600,600,400,150004
600,800,600,600,1000,150005
400,600,600,400,800,150006
400,400,400,400,400,150007
400,400,400,600,400,150008
400,400,400,400,600,150009
400,600,600,600,400,150010
400,400,400,400,400,150011
600,600,600,600,600,150012
600,600,800,800,600,150013
400,600,600,600,400,150014
400,600,600,400,600,150015
400,600,600,600,600,150016
600,600,400,400,600,150017
400,600,600,400,400,150018
600,600,600,800,800,150019
400,400,400,600,400,150020
600,600,600,600,600,150021
600,600,400,600,600,150022
400,600,400,400,400,150023
400,600,400,600,600,150024
600,600,400,400,800,150025
600,600,600,800,600,150026
600,600,600,400,600,150027
400,400,400,400,600,150028
400,400,400,600,400,150029
400,600,600,400,600,150030
400,400,400,400,600,150031
400,400,400,400,400,150032
400,400,400,400,200,150033
400,400,600,400,200,150034
400,400,400,400,400,150035
400,600,600,600,600,150036
400,600,400,600,600,150037
400,400,400,400,800,150038
400,400,400,400,600,150039
400,400,600,600,600,150040
400,400,400,600,400,150041
400,400,400,400,200,150042
400,600,600,600,400,150043
400,400,400,400,200,150044
600,400,400,400,400,150045
400,400,400,400,600,150046
400,400,400,400,200,150047
600,800,600,600,800,150048
400,600,400,400,400,150049
400,400,400,400,400,150050
400,400,400,400,200,150051
400,400,400,400,600,150052
400,400,400,400,600,150053
600,600,600,400,600,150054
400,600,600,600,400,150055
600,600,600,600,800,150056
600,600,600,600,600,150057
400,400,400,400,400,150058
400,400,400,400,200,150059
400,600,400,400,400,150060
600,600,600,600,400,150061
400,400,400,400,200,150062
600,600,600,400,600,150063
400,600,400,600,600,150064
400,600,600,400,600,150065
400,600,600,600,600,150066
600,600,600,800,600,150067
400,600,400,400,400,150068
400,400,400,400,600,150069
600,600,600,800,600,150070
400,400,400,600,600,150071
400,600,600,600,600,150072
600,600,600,800,800,150073
400,600,400,400,400,150074
400,400,600,400,600,150075
600,600,400,600,600,150076
400,400,400,400,400,150077
400,600,600,600,400,150078
400,400,400,400,400,150079
400,400,400,400,400,150080
400,600,600,600,600,150081
400,600,400,400,600,150082
600,600,600,600,600,150083
600,600,600,600,400,150084
400,400,400,400,400,150085
400,600,600,600,600,150086
400,600,400,400,600,150087
400,600,600,600,400,150088
400,400,400,400,400,150089
400,600,600,600,600,150090
600,600,600,600,600,150091
400,400,400,600,600,150092
600,600,600,800,600,150093
600,600,600,600,600,150094
400,600,400,600,600,150095
400,400,400,400,800,150096
400,400,400,400,400,150097
400,400,200,400,400,150098
400,400,400,400,0,150099
400,400,400,400,600,150100
400,400,600,600,400,150101
400,600,600,600,600,150102
600,600,400,400,400,150103
400,400,400,400,400,150104
400,600,400,400,600,150105
600,600,600,600,600,150106
400,600,600,400,400,150107
400,400,400,600,400,150108
400,600,600,600,600,150109
600,600,400,600,600,150110
400,400,400,400,0,150111
600,600,600,400,600,150112
400,400,400,400,600,150113
400,600,600,400,600,150114
400,400,400,400,600,150115
400,600,400,400,600,150116
400,600,600,600,600,150117
400,400,400,400,600,150118
400,600,600,600,600,150119
400,400,400,600,600,150120
400,400,400,400,600,150121
400,400,600,600,800,150122
400,600,600,600,600,150123
400,600,600,600,800,150124
400,600,600,400,600,150125
400,400,400,400,400,150126
400,600,400,400,600,150127
400,400,400,600,400,150128
400,400,400,400,600,150129
600,600,600,600,600,150130
400,600,600,600,600,150131
400,400,400,400,400,150132
600,400,600,600,400,150133
400,600,400,600,600,150134
400,400,400,400,0,150135
400,600,600,400,600,150136
