UF_RESIDENCIA,IDADE,TP_SEXO,ST_CONCLUSAO,ANO_CONCLUIU,TP_ESCOLA,TP_ESTADO_CIVIL,TP_COR_RACA,IDX
5,17,1,3,0,0,0,3,150001
10,20,1,1,2011,0,0,2,150002
8,24,0,1,2009,0,0,2,150003
17,21,1,1,2012,0,0,3,150004
13,28,1,1,2004,0,0,0,150005
25,17,1,2,0,1,0,1,150006
13,21,1,1,2009,0,0,3,150007
14,21,0,1,2008,0,0,3,150008
25,16,0,3,0,0,0,1,150009
19,23,0,1,2007,0,0,2,150010
25,20,0,1,2012,0,0,3,150011
7,25,1,1,2009,0,0,2,150012
13,22,0,1,2009,0,0,3,150013
25,32,0,1,2005,0,1,3,150014
20,31,1,1,2004,0,0,2,150015
13,17,1,3,0,0,0,1,150016
21,18,1,1,2012,0,0,1,150017
20,17,0,2,0,1,0,3,150018
8,23,0,1,2009,0,0,2,150019
14,16,1,3,0,0,0,3,150020
17,16,1,2,0,2,0,1,150021
13,17,1,2,0,2,0,1,150022
25,23,0,1,2009,0,1,2,150023
16,16,0,3,0,0,0,3,150024
13,24,0,1,2008,0,0,3,150025
25,18,1,1,2012,0,0,1,150026
25,16,1,3,0,0,0,1,150027
25,17,0,2,0,1,0,3,150028
18,43,0,1,2004,0,0,3,150029
10,19,0,4,0,0,1,1,150030
16,18,1,1,2012,0,0,4,150031
21,20,0,1,2011,0,0,2,150032
26,20,0,2,0,1,0,3,150033
6,19,1,2,0,1,0,1,150034
9,18,1,2,0,1,0,2,150035
8,30,1,1,2004,0,1,3,150036
6,16,1,3,0,0,0,3,150037
25,17,0,3,0,0,0,3,150038
4,23,0,1,2007,0,0,3,150039
19,18,1,1,2012,0,0,1,150040
16,16,1,2,0,1,0,1,150041
4,42,0,2,0,1,0,3,150042
15,18,1,1,2012,0,0,3,150043
13,24,0,3,0,0,0,2,150044
9,18,0,2,0,1,0,3,150045
5,17,0,3,0,0,0,2,150046
15,16,1,3,0,0,0,5,150047
5,26,1,1,2006,0,0,3,150048
20,16,1,3,0,0,0,1,150049
25,19,0,1,2012,0,0,1,150050
10,18,1,2,0,1,0,2,150051
24,18,0,2,0,2,0,4,150052
18,18,0,1,2012,0,0,3,150053
19,24,1,1,2006,0,0,3,150054
16,16,0,3,0,0,0,1,150055
20,19,0,1,2011,0,0,1,150056
13,21,0,1,2010,0,0,2,150057
13,19,1,2,0,1,0,3,150058
19,59,0,4,0,0,1,1,150059
17,18,1,3,0,0,0,2,150060
21,16,1,3,0,0,0,1,150061
13,18,0,2,0,1,0,1,150062
13,20,0,1,2010,0,0,3,150063
16,17,1,2,0,1,0,3,150064
20,39,0,1,2004,0,0,1,150065
25,19,0,2,0,1,0,1,150066
17,26,0,1,2005,0,0,1,150067
5,19,1,2,0,1,0,2,150068
19,19,0,2,0,2,0,3,150069
7,16,1,3,0,0,0,1,150070
13,24,1,1,2007,0,0,3,150071
13,16,1,3,0,0,0,3,150072
5,16,1,3,0,0,0,1,150073
18,17,0,3,0,0,0,2,150074
11,16,0,4,0,0,0,1,150075
13,24,1,2,0,1,1,1,150076
20,17,0,2,0,1,0,2,150077
13,31,0,1,2004,0,0,3,150078
26,41,1,1,2008,0,0,3,150079
16,16,1,3,0,0,0,3,150080
6,18,1,1,2011,0,0,1,150081
15,23,0,2,0,1,0,3,150082
8,17,0,2,0,1,0,3,150083
13,19,0,1,2011,0,0,3,150084
13,16,0,3,0,0,0,1,150085
21,17,1,2,0,1,0,1,150086
21,29,1,1,2004,0,1,1,150087
20,17,0,2,0,2,0,1,150088
21,16,0,3,0,0,0,1,150089
19,20,0,1,2010,0,0,2,150090
6,20,0,1,2010,0,0,1,150091
9,14,0,3,0,0,0,1,150092
13,18,1,2,0,1,0,1,150093
